#--------------------------------------------------------------------
#Temperature Measurments using a Lakeshore Temperature Monitor 218 1-4 DT-670,5-6 Cernox
#Type of file: Complete Data
#Sensors: Sensor 1 -- Diode1  Sensor 2 -- Diode2  Sensor 3 -- Diode3  Sensor 4 -- Diode4  Sensor 5 -- Cernox5  Sensor 6 -- Cernox6  
#Date: 07-05-2021 15:46:31
#--------------------------------------------------------------------

#    Time	Sensor 1	Sensor 2	Sensor 3	Sensor 4	Sensor 5	Sensor 6	
      0.36	+294.39	+294.36	+295.13	+294.38	+286.05	+285.69
      1.26	+294.40	+294.35	+295.13	+294.38	+286.07	+285.76
      2.17	+294.40	+294.35	+295.14	+294.38	+286.14	+285.71
      3.08	+294.40	+294.35	+295.14	+294.38	+286.03	+285.66
      3.99	+294.40	+294.35	+295.13	+294.38	+285.98	+285.53
      4.89	+294.40	+294.35	+295.14	+294.38	+285.99	+285.71
      5.79	+294.40	+294.35	+295.13	+294.38	+285.83	+285.70
      6.70	+294.39	+294.35	+295.13	+294.38	+285.92	+285.82
      7.61	+294.39	+294.35	+295.13	+294.38	+286.05	+285.92
      8.51	+294.39	+294.35	+295.13	+294.38	+286.10	+285.82
      9.41	+294.39	+294.35	+295.14	+294.38	+286.01	+285.68
     10.32	+294.39	+294.36	+295.13	+294.38	+286.01	+285.76
     11.22	+294.40	+294.35	+295.13	+294.38	+285.93	+285.59
     12.13	+294.40	+294.35	+295.14	+294.38	+285.93	+285.41
     13.03	+294.40	+294.35	+295.14	+294.39	+286.00	+285.61
     13.94	+294.40	+294.35	+295.13	+294.38	+285.85	+285.62
     14.84	+294.40	+294.35	+295.13	+294.38	+285.98	+285.82
     15.75	+294.39	+294.35	+295.13	+294.38	+285.91	+285.71
     16.65	+294.39	+294.35	+295.14	+294.38	+286.00	+285.89
     17.56	+294.40	+294.35	+295.14	+294.38	+285.95	+285.83
     18.46	+294.39	+294.35	+295.13	+294.38	+285.97	+285.67
     19.37	+294.39	+294.35	+295.14	+294.38	+285.89	+285.54
     20.27	+294.40	+294.35	+295.14	+294.38	+285.85	+285.56
     21.18	+294.40	+294.36	+295.13	+294.39	+285.98	+285.56
     22.08	+294.40	+294.35	+295.13	+294.39	+285.91	+285.62
     22.98	+294.40	+294.36	+295.13	+294.38	+285.93	+285.51
     23.89	+294.40	+294.35	+295.14	+294.39	+285.76	+285.57
     24.79	+294.39	+294.35	+295.14	+294.38	+285.85	+285.65
     25.70	+294.39	+294.35	+295.13	+294.38	+285.96	+285.93
     26.60	+294.39	+294.36	+295.14	+294.38	+285.91	+285.71
     27.51	+294.39	+294.35	+295.13	+294.38	+285.82	+285.91
     28.41	+294.39	+294.35	+295.13	+294.38	+285.98	+285.64
     29.32	+294.39	+294.35	+295.14	+294.39	+285.91	+285.77
     30.22	+294.40	+294.35	+295.13	+294.38	+285.86	+285.53
     31.13	+294.40	+294.35	+295.14	+294.39	+286.03	+285.66
     32.03	+294.40	+294.35	+295.14	+294.38	+285.99	+285.59
     32.93	+294.40	+294.35	+295.14	+294.39	+285.92	+285.69
     33.84	+294.40	+294.35	+295.14	+294.38	+286.00	+285.67
     34.74	+294.40	+294.36	+295.14	+294.38	+286.09	+285.68
     35.65	+294.40	+294.35	+295.13	+294.38	+285.95	+285.77
