#--------------------------------------------------------------------
#Temperature Measurments using a Lakeshore Temperature Control 335 A-B Cernox
#Type of file: Complete Data
#Sensors: Sensor 1 -- CernoxA  Sensor 2 -- CernoxB  
#Date: 07-05-2021 15:46:31
#--------------------------------------------------------------------

#    Time	Sensor 1	Sensor 2	
      0.76	+294.83	+295.01
      1.67	+294.84	+295.01
      2.58	+294.83	+295.01
      3.48	+294.83	+295.00
      4.39	+294.84	+295.00
      5.29	+294.83	+295.01
      6.20	+294.83	+295.01
      7.10	+294.83	+295.01
      8.01	+294.83	+295.00
      8.91	+294.83	+295.01
      9.82	+294.83	+295.00
     10.72	+294.84	+295.01
     11.63	+294.83	+295.01
     12.53	+294.83	+295.00
     13.43	+294.83	+295.00
     14.34	+294.83	+295.01
     15.24	+294.84	+295.01
     16.15	+294.83	+295.00
     17.05	+294.83	+295.01
     17.96	+294.83	+295.00
     18.86	+294.83	+295.01
     19.77	+294.83	+295.01
     20.67	+294.84	+295.00
     21.58	+294.83	+295.00
     22.48	+294.83	+295.01
     23.38	+294.83	+295.01
     24.29	+294.84	+295.01
     25.19	+294.84	+295.01
     26.10	+294.83	+295.01
     27.00	+294.84	+295.01
     27.91	+294.83	+295.01
     28.81	+294.83	+295.01
     29.72	+294.83	+295.00
     30.62	+294.83	+295.01
     31.53	+294.83	+295.01
     32.43	+294.84	+295.00
     33.34	+294.84	+295.01
     34.24	+294.84	+295.01
     35.15	+294.83	+295.01
     36.05	+294.84	+295.01
     36.96	+294.83	+295.01
     37.86	+294.83	+295.00
     38.77	+294.84	+295.01
     39.67	+294.84	+295.01
     40.57	+294.83	+295.01
     41.48	+294.83	+295.01
     42.38	+294.84	+295.01
     43.29	+294.84	+295.00
     44.19	+294.84	+295.01
     45.10	+294.83	+295.01
     46.00	+294.84	+295.01
     46.91	+294.84	+295.01
     47.81	+294.84	+295.01
     48.72	+294.84	+295.01
     49.62	+294.84	+295.01
     50.53	+294.84	+295.01
     51.43	+294.84	+295.01
     52.34	+294.84	+295.01
     53.24	+294.83	+295.01
     54.15	+294.83	+295.00
     55.05	+294.84	+295.01
     55.96	+294.84	+295.01
     56.86	+294.84	+295.01
     57.77	+294.83	+295.00
     58.67	+294.83	+295.01
     59.58	+294.83	+295.01
     60.48	+294.83	+295.01
     61.39	+294.83	+295.01
     62.29	+294.83	+295.01
     63.19	+294.84	+295.01
     64.10	+294.84	+295.01
     65.00	+294.84	+295.01
     65.91	+294.83	+295.01
     66.81	+294.84	+295.01
     67.72	+294.84	+295.01
     68.62	+294.83	+295.01
     69.53	+294.83	+295.01
     70.43	+294.83	+295.01
     71.34	+294.84	+295.01
     72.24	+294.83	+295.01
     73.15	+294.83	+295.01
     74.05	+294.84	+295.01
     74.96	+294.83	+295.01
     75.86	+294.83	+295.01
     76.77	+294.83	+295.00
     77.67	+294.83	+295.01
     78.58	+294.84	+295.01
     79.48	+294.84	+295.01
     80.39	+294.83	+295.01
     81.29	+294.83	+295.01
     82.20	+294.83	+295.01
     83.10	+294.83	+295.01
     84.01	+294.84	+295.01
     84.91	+294.83	+295.01
     85.82	+294.83	+295.01
     86.72	+294.84	+295.01
     87.63	+294.83	+295.01
     88.53	+294.84	+295.00
     89.44	+294.83	+295.01
     90.35	+294.83	+295.00
     91.25	+294.83	+295.00
     92.16	+294.83	+295.01
     93.06	+294.84	+295.01
     93.97	+294.83	+295.00
     94.87	+294.83	+295.01
     95.78	+294.83	+295.01
     96.68	+294.83	+295.01
     97.59	+294.83	+295.01
     98.49	+294.84	+295.01
     99.40	+294.83	+295.01
    100.30	+294.84	+295.01
    101.21	+294.84	+295.01
    102.11	+294.84	+295.00
    103.02	+294.83	+295.01
    103.92	+294.83	+295.01
    104.82	+294.84	+295.01
    105.73	+294.84	+295.01
    106.63	+294.84	+295.01
    107.54	+294.84	+295.01
    108.45	+294.83	+295.01
    109.35	+294.83	+295.01
    110.26	+294.84	+295.00
    111.16	+294.84	+295.01
    112.07	+294.84	+295.01
    112.97	+294.83	+295.01
    113.88	+294.83	+295.01
    114.78	+294.83	+295.01
    115.69	+294.83	+295.01
    116.59	+294.83	+295.00
    117.50	+294.83	+295.01
    118.40	+294.84	+295.01
    119.31	+294.83	+295.01
    120.21	+294.84	+295.01
    121.12	+294.83	+295.00
    122.02	+294.83	+295.01
    122.92	+294.84	+295.01
    123.83	+294.84	+295.01
    124.73	+294.83	+295.01
    125.64	+294.84	+295.01
    126.55	+294.84	+295.01
    127.45	+294.83	+295.01
    128.36	+294.83	+295.01
    129.26	+294.83	+295.01
